project_name,org,primary_language,file_types,community,tracker_type,tracker_url,git_url,approx_issues,approx_commits,priority,notes
prometheus,prometheus,Go,.go .yaml,CNCF,GitHub Issues,https://github.com/prometheus/prometheus/issues,https://github.com/prometheus/prometheus,6000,7000,high,GitHub Issues. Go monitoring system. Includes YAML config files. CNCF community.
grafana,grafana,Go+TypeScript,.go .ts .tsx .scss,Grafana Labs,GitHub Issues,https://github.com/grafana/grafana/issues,https://github.com/grafana/grafana,20000,30000,high,GitHub Issues. Go backend + TypeScript frontend. Very diverse file types. Large active community.
terraform,hashicorp,Go+HCL,.go .hcl .tf,HashiCorp,GitHub Issues,https://github.com/hashicorp/terraform/issues,https://github.com/hashicorp/terraform,10000,12000,high,GitHub Issues. Go core that manages .tf/.hcl files! Two-level: tool code (Go) + config files (HCL). Unique.
hugo,gohugoio,Go,.go .html .toml,GitHub-native,GitHub Issues,https://github.com/gohugoio/hugo/issues,https://github.com/gohugoio/hugo,9000,7000,medium,GitHub Issues. Go static site generator. Clean commit history.
kubernetes,kubernetes,Go+YAML,.go .yaml .json .proto,CNCF,GitHub Issues,https://github.com/kubernetes/kubernetes/issues,https://github.com/kubernetes/kubernetes,100000,120000,low,GitHub Issues. Massive project. Multi-repo complexity. Needs careful scoping to main repo only.
typescript,microsoft,TypeScript,.ts .tsx,Microsoft,GitHub Issues,https://github.com/microsoft/TypeScript/issues,https://github.com/microsoft/TypeScript,28000,18000,high,GitHub Issues. TypeScript compiler. Microsoft community. Very different from Apache culture. Technical and precise issues.
vscode,microsoft,TypeScript+JSON,.ts .json .css,Microsoft,GitHub Issues,https://github.com/microsoft/vscode/issues,https://github.com/microsoft/vscode,180000,20000,low,Too many issues (180k+). Noisy. Skip unless filtered by label.
eslint,eslint,JavaScript,.js .ts,JavaScript community,GitHub Issues,https://github.com/eslint/eslint/issues,https://github.com/eslint/eslint,10000,6000,medium,GitHub Issues. JavaScript linter. Similar to RuboCop but for JS.
pytest,pytest-dev,Python,.py,Python community,GitHub Issues,https://github.com/pytest-dev/pytest/issues,https://github.com/pytest-dev/pytest,5000,5000,medium,GitHub Issues. Python test framework. Medium size. Good quality issues.
fastapi,tiangolo,Python,.py,GitHub-native,GitHub Issues,https://github.com/tiangolo/fastapi/issues,https://github.com/tiangolo/fastapi,3000,1500,low,GitHub Issues. Smaller project. Good for validation but limited history.
pulumi,pulumi,Go+TypeScript,.go .ts .py,Pulumi community,GitHub Issues,https://github.com/pulumi/pulumi/issues,https://github.com/pulumi/pulumi,6000,8000,medium,GitHub Issues. Infrastructure-as-code like Terraform. Go core. Interesting IaC domain.
helm,helm,Go+YAML,.go .yaml,CNCF,GitHub Issues,https://github.com/helm/helm/issues,https://github.com/helm/helm,5000,5000,medium,GitHub Issues. Kubernetes package manager. Go + YAML templates. CNCF community.
salt,saltstack,Python+YAML+Jinja,.py .sls .yaml .j2,SaltStack community,GitHub Issues,https://github.com/saltstack/salt/issues,https://github.com/saltstack/salt,30000,35000,medium,GitHub Issues. Config management like Ansible. Python+YAML/Jinja state files.
mozilla-servo,servo,Rust,.rs .toml .html,Mozilla,GitHub Issues,https://github.com/servo/servo/issues,https://github.com/servo/servo,12000,20000,medium,GitHub Issues. Rust web engine from Mozilla. Different from Bugzilla. Good Rust dataset.
gcc,GCC,C+C++,.c .cc .h .f90,GNU,Bugzilla,https://gcc.gnu.org/bugzilla/,https://gcc.gnu.org/git/gcc.git,100000+,300000+,low,Bugzilla. Very complex scraping. Commits ref 'PR NNNNN'. Extreme technical depth. C/Fortran.
cpython,python,Python+C,.py .c .h,Python community,GitHub Issues,https://github.com/python/cpython/issues,https://github.com/python/cpython,90000,120000,low,Moved from bugs.python.org to GitHub Issues in 2022. Very large. Good Python+C mix. Needs label filtering.
gnome-shell,GNOME,C+JavaScript,.c .js .css,GNOME,GitLab,https://gitlab.gnome.org/GNOME/gnome-shell/-/issues,https://gitlab.gnome.org/GNOME/gnome-shell,3000,5000,low,GitLab API needed. C + JavaScript. Different ecosystem.
agilebill,www.agileco.com,"SQL, php",.sql .php,agileco,git commits,git commit,https://github.com/tony-landis/agilebill,,,high,AgileBill is a Flexible Billing and Invoicing Application for a number of  markets including Web Hosts ISPs VoIP Providers and membership/subscription type models.
